"楼栋","房号","幢号","套内面积","建筑面积","得房率","楼层","用途","总价","户型","销售状态","均价套内","均价建筑","无房户","isRoomless"
"春月金沙府3幢15号1001","1001","3幢","92.82","122.47","75%","10层","住宅","4309183","3室2厅1厨2卫","未网签","46425","35186","否",false
"春月金沙府3幢15号1002","1002","3幢","84.40","111.36","75%","10层","住宅","4119650","3室2厅1厨2卫","未网签","48811","36994","否",false
"春月金沙府3幢15号1003","1003","3幢","84.40","111.36","75%","10层","住宅","4119650","3室2厅1厨2卫","未网签","48811","36994","是",true
"春月金沙府3幢15号1004","1004","3幢","92.82","122.47","75%","10层","住宅","4213074","3室2厅1厨2卫","未网签","45390","34401","否",false
"春月金沙府3幢15号1101","1101","3幢","92.82","122.47","75%","11层","住宅","4330077","3室2厅1厨2卫","未网签","46650","35356","是",true
"春月金沙府3幢15号1102","1102","3幢","84.40","111.36","75%","11层","住宅","4138648","3室2厅1厨2卫","未网签","49036","37165","否",false
"春月金沙府3幢15号1103","1103","3幢","84.40","111.36","75%","11层","住宅","4138648","3室2厅1厨2卫","未网签","49036","37165","否",false
"春月金沙府3幢15号1104","1104","3幢","92.82","122.47","75%","11层","住宅","4233967","3室2厅1厨2卫","未网签","45615","34571","否",false
"春月金沙府3幢15号1201","1201","3幢","92.82","122.47","75%","12层","住宅","4350970","3室2厅1厨2卫","未网签","46875","35527","否",false
"春月金沙府3幢15号1202","1202","3幢","84.40","111.36","75%","12层","住宅","4157646","3室2厅1厨2卫","未网签","49261","37335","否",false
"春月金沙府3幢15号1203","1203","3幢","84.40","111.36","75%","12层","住宅","4157646","3室2厅1厨2卫","未网签","49261","37335","否",false
"春月金沙府3幢15号1204","1204","3幢","92.82","122.47","75%","12层","住宅","4254861","3室2厅1厨2卫","未网签","45840","34742","否",false
"春月金沙府3幢15号1301","1301","3幢","92.82","122.47","75%","13层","住宅","4371863","3室2厅1厨2卫","未网签","47100","35697","否",false
"春月金沙府3幢15号1302","1302","3幢","84.40","111.36","75%","13层","住宅","4176644","3室2厅1厨2卫","未网签","49486","37506","是",true
"春月金沙府3幢15号1303","1303","3幢","84.40","111.36","75%","13层","住宅","4176644","3室2厅1厨2卫","未网签","49486","37506","否",false
"春月金沙府3幢15号1304","1304","3幢","92.82","122.47","75%","13层","住宅","4275754","3室2厅1厨2卫","未网签","46065","34913","否",false
"春月金沙府3幢15号1401","1401","3幢","92.82","122.47","75%","14层","住宅","4371863","3室2厅1厨2卫","未网签","47100","35697","否",false
"春月金沙府3幢15号1402","1402","3幢","84.40","111.36","75%","14层","住宅","4176644","3室2厅1厨2卫","未网签","49486","37506","否",false
"春月金沙府3幢15号1403","1403","3幢","84.40","111.36","75%","14层","住宅","4176644","3室2厅1厨2卫","未网签","49486","37506","是",true
"春月金沙府3幢15号1404","1404","3幢","92.82","122.47","75%","14层","住宅","4275754","3室2厅1厨2卫","未网签","46065","34913","是",true
"春月金沙府3幢15号1501","1501","3幢","92.82","122.47","75%","15层","住宅","4380221","3室2厅1厨2卫","未网签","47190","35766","是",true
"春月金沙府3幢15号1502","1502","3幢","84.40","111.36","75%","15层","住宅","4184243","3室2厅1厨2卫","未网签","49576","37574","否",false
